Dressing Blue Cheese McDonalds,260,4,24,6,0
Dressing cu iaurt McDonalds,210,2,20,6,0
Dressing cu otet Vinaigrette Develey,246,0.3,25,3.6,0
Dressing italian Kraft,33.3,0,1.3,6.6,0
Dressing pentru salata cu iaurt Develey,214,1.4,19.9,6.9,0
Dressing salata Island,362,0.7,36.8,7.1,0
Inlocuitor de maioneza light Miracle Whip Kraft ,160,0,10,20,0
Ketchup dulce Tomi,90.1,1,0,21,0
Ketchup dulce Univer,108,0.9,0.2,25.7,0
Ketchup Heinz,103,0.9,0.1,24.1,0.1
Ketchup Kania,104,1.9,0.1,22.9,0.6
Ketchup KFC,85,2,0.6,18,0
Ketchup Napoli Hellmann's,110,1.6,0.1,24,0.8
Ketchup P'tits Heinz,74,1.5,0.1,16.6,1.4
Ketchup picant Carrefour,50,1,0,11.2,0
Ketchup picant Tomi,78.4,1.1,0,18,0
Ketchup Tomi Light,37,1,0.1,8,3
Maioneza 3% Ligeresa,75,0.6,3,11,0.6
Maioneza Calvè,630,1,69,1,0
Maioneza Calve Casera,480,0.8,51,4,0
Maioneza Hellmann's,692,0,77,0,0
Maioneza Hellmann's original,710,1,78,3,0.1
Maioneza Ligeresa,70,0.7,3,10,0.6
Maioneza light Hellmann's,280,0.6,27,9,0.7
Maioneza light Mikado,475,0.7,50,3,0
Maioneza Mikado,748,1,81.1,3.3,0
Maioneza Nane,581,8.8,60.2,1.4,0
Maioneza pentru salata Delique,465,0.4,49.3,4.8,0
Mustar bayerisch susser Hausmacher Senf,186,5.9,2.4,33.3,0
Mustar clasic Olympia,100,3.9,4.5,9.5,0
Mustar cu hrean Kamis,102,5.2,4.6,9.9,0.1
Mustar Delhaize,137,6.5,9.5,6.5,0
Mustar dulce Olympia,36,4.5,0.5,3.4,0
Mustar Iute Bunatati de la Bunica,114,5,6,5,0
Mustar Papalito extra,79.5,3.8,4.3,5.2,3.7
Otet balsamic de zmeura De Nigris,150,0,0,3,0
Pasta de ardei iute Piros  Arany,71,2.1,4.4,5.8,0
Pasta de ardei iute Univer Piros Arany ,36,2,1,4.6,0
Pasta de masline Fora,293,2.5,28.7,6.3,2.7
Pasta de masline Kalamata Delphi,212.2,1.8,22.2,1.3,1.9
Pasta de masline negre Fora Party,293,2.5,26.7,6.3,2.7
Pasta de masline negre Xenia,206,2,20.5,3.3,3
Pasta de rosii Pomi,26,1.3,0.2,4,1.5
Pasta de tomate K Clasic Kaufland,22,1.3,0.2,3,0
Pasta de tomate Nostia Lidl,32,1.6,0.3,5,0
Pasta susan tahina Al Amier ,658,27,58,1.9,0
Rosii cubulete in suc propriu Ortonio,23,1.2,0.3,3,0
Rosii decojite intregi Carrefour,25,1,0,4,0
Rosii pasate Fioccini,25,1.2,0.2,4,0
Salata tzatziki greek style Eridanous,123,4,8.8,6.9,1.4
Salsa Tostitos,50,0,0,10,3.3
Sos alb pentru kebab Chovi,515.8,1.6,53.1,6.9,0
Sos All iOli Hacendado,735,1.1,80.5,1.3,0
Sos alla bolognese iSughitti,94,4.5,5.4,6.8,0
Sos Arrabbiata Barilla,62,1.5,3.5,6,2
Sos arrabiata Baneassa,61,1.8,3.2,6.5,0
Sos Bbq Dia,119,0.2,0,29,0
Sos Bechamel Knorr,85,3.5,3.5,9,0.2
Sos Bolognese Barilla,81,5,4,5.5,1.5
Sos Bolognese Star,109,5.7,6.8,6.3,0
Sos Caesar KFC,220,0.2,21.8,5.6,0
Sos carbonara cu parmesan Dolmio,91,2.4,7.2,4.2,0.4
Sos carbonara Panzani,127,4,10,5.1,0.4
Sos chili Remia,20,0.2,0,4.6,0
Sos chilli Pimento Heinz,28,0.3,0,3.2,0.9
Sos chinezesc Uncle Ben's,90,0.4,0.1,21.6,0
Sos clasic bruschette Buitoni,100,3,6.1,6.1,0
Sos crema de iaurt pentru salata Hamker,325,1.2,30.2,12.2,0
Sos cu ardei si verdeturi Knor Salad Dressing,410,0.2,43,5.8,0
Sos cu carne pentru paste bolognese Baneasa,98,5.1,6.7,6.6,0
Sos cu chilli Szechuan Uncle Ben`s,90,1,4.5,11.3,0.9
Sos cu pasta de tomate 24% Regal,612,1.5,0,14,0
Sos curry de inspiratie tailandeza Uncle Ben's,108,1.4,5.3,13.3,1.6
Sos curry Delhaize,624,1.2,69.9,4.3,0.1
Sos de ardei iute Chili Vifon,84,0,0,21,0
Sos de arpagic Ikea,370,8,15,51,0
Sos de branza Hot Cheese Dip Clarky's,172,1.9,12.2,13.6,0
Sos de maioneza Auchan,279,0.6,27.1,8.2,0
Sos de maioneza Clever,365,0.3,40,8.2,0
Sos de maioneza cu ou Hamker,468,0.4,51.1,1.1,0
Sos de maioneza cu usturoi Don Gustosso,265.2,0,24,12.3,0
Sos de maioneza fara ou Hamker,413,0.5,45,1.4,0
Sos de maioneza light Don Gustoso,280.8,0,27.9,7.5,0
Sos de maioneza Tip,387,0.3,40.1,8.1,0
Sos de maioneza vegetala Inedit,360,1.8,36.3,6.4,0
Sos de peste Delhaize,56,8,0,6,0
Sos de piper Schawartz,349,16.8,5.6,55.2,5.3
Sos de rosii Bella Parma,34,1.4,0.5,5.9,1.4
Sos de rosii cu busuioc Barilla,56,1.6,1.2,9.6,2.4
Sos de rosii pasata Del Monte,22,1.5,0.2,3,1.5
Sos de rosii Passata Olympia,17,1,0,3.3,0
Sos de rosii si anghinare Delhaize,41,1,3.1,2.4,2.2
Sos de soia,72,12.6,0.1,6.7,1
Sos de soia Tao Tao,26.5,3.8,0,2.7,0
Sos de tomate Auchan,38,1.1,0.2,8,2.9
Sos de tomate cu branza ricotta Barilla,95,3.3,5.8,6.6,1.8
Sos de usturoi Glenn KFC,436,1.6,42.4,11.6,0
Sos de usturoi Glenn KFC,436,1.6,42.4,11.6,0
Sos de usturoi Heinz,335,1.6,32.3,9.1,0
Sos din suc lamaie Carrefour,3.2,0,0,0.8,0
Sos extra spicy Bolognese Dolmio,49,1.5,1.3,7.9,0
Sos French KFC,208,0.6,20.6,5.4,0
Sos gazpacho traditional Haceando,35,0.8,2.7,2,1.4
Sos grecesc Knor Salad Dressing,415,0.4,43,6,0
Sos grecesc Salsa Greca,203,1.4,17.8,9,0
Sos Hot Mexicana Salsa Dip Clarky's,74,1.2,0.1,17,0
Sos iaurt KFC,242,0.2,22,10.8,0
Sos in stil alsacian Uncle Ben's,67,0.7,5.3,4.1,0.7
Sos instant pentru pui cu ciuperci Maggi,405,6.5,18.3,53.3,2.4
Sos italian pentru salata Heinz,75,0.1,3,12,0
Sos maioneza Univer,490,0.3,50.2,8.5,0
Sos masline Agnesi,60,1.3,3.7,5.3,0
Sos masline si busuioc Olive & Basilico Panzani,71,1,3.2,9.5,0
Sos mediteranean Knor Salad Dressing,410,0.2,43,5.7,0
Sos mexican chilli Uncle Ben's,58,1.7,0.5,10.2,2.3
Sos mild ajvar Sera,116,6,9,2,0
Sos mustar si miere Ligeresa,190,0.8,14,15,0.5
Sos paste Delhaize,101,1,5.1,12.4,0
Sos pentru pasta toscana Alnatura,381,5.8,37.3,5.6,0
Sos pentru paste cu masline si capere Baneasa,61,1.5,4.1,6.6,0
Sos pentru paste cu rosii si mascarpone Sacla,171,1.4,15.8,5.9,0
Sos pentru paste Quattro Formaggi Dolmino,108,1.7,9.8,3.3,0.7
Sos pesto Alla Genovese,454,5.3,45.4,6,0
Sos pesto Alla Genovese Panorama,487,4.9,45.6,14.6,0
Sos pesto Delhaize,376,5,39.2,0.8,5.4
Sos pesto Verde Alnatura,465,10,43,9.3,3.2
Sos picant BBQ sauce Chakalaka,115,1.5,4,17,2.5
Sos remoulade Hemker,629,0.6,66.9,6.2,0
Sos ricotta Barilla,95,3.3,6,5.5,2
Sos risotto tomate & parmezan Panzani,96,1.5,5.8,9.4,0
Sos rosii Arrigoni,21,1.3,0.1,3.6,0
Sos roz pentru carne Dia,533,1.3,51.5,15.8,0
Sos salsa de ciuperci Knorr,120,0.9,12,2.5,0.5
Sos soia Maxim's,133,13.3,0,20,0
Sos soia picant  Heinz,184,2.6,0,43,0
Sos soia premium light Delhaize,46,7.7,1,3.8,0
Sos tartar Knorr,504,0.9,52.6,6.4,0
Sos tartar Mikado,470,0.9,50,5,0
Sos tortills dip mild Mexicana Cantina,56,1.3,0.4,11.4,0
Sos tzatziki Apostels,116,5,7,8.3,1.2
Sos usturoi Univer,454,1,45.7,9.7,0
Sos vegetarian de ciuperci cu gust de stridii Delhaize,117,3.5,0,25.8,0
Sos Vinaigrette KFC,325,0.4,13.4,13.2,0
Ssos de tomate cu busuioc bio Auchan,47,1.3,2.2,5.4,0
Tzatziki 365,51,3.3,2.9,2.9,0
Tzatziki Asda,114,3.6,7.8,7,0.5
Tzatziki Lidl,207,7.8,9.3,15.5,0
Wasabi Cernauti,206.3,4.7,14,15.4,0
